Age,Gender,Years at address,Employment status,Country,Current debt,Postcode,Income,Own home,CCJs,Loan amount,Outcome
27,F,1,Unemployed,UK,6820,EH10 4NR,45500,Mortgage,0,364,Defaulted
72,F,27,Self Employed,UK,0,BS6 7XP,45500,Mortgage,3,26704,Defaulted
88,M,36,Unemployed,UK,1090,CW5 8DE,24000,Own,1,16357,Paid
66,F,6,Self Employed,UK,7840,RH5 6BP,16000,Own,0,11187,Paid
17,F,1,Self Employed,UK,1840,TN21 0TL,41000,Mortgage,1,8011,Paid
22,F,1,Self Employed,UK,8160,BT30 9BQ,37500,Own,1,22891,Defaulted
24,M,2,Unemployed,UK,80,EH39 4LZ,29500,Mortgage,1,18010,Paid
36,F,14,Self Employed,UK,0,DD3 8AZ,43000,Own,0,22764,Paid
21,M,2,Unemployed,UK,220,N8 9LA,42500,Own,1,12888,Paid
64,F,24,Self Employed,UK,950,N10 1ED,29000,Own,0,15844,Paid
55,F,3,Self Employed,UK,90,SW9 0TS,51500,Own,1,31238,Paid
56,F,12,Employed,UK,1390,IP18 6LS,43500,Rent,0,354,Paid
59,M,25,Self Employed,UK,130,CV22 6HP,36000,Own,0,3841,Paid
52,M,19,Employed,UK,100,UB8 1PA,52500,Mortgage,1,3567,Paid
56,M,12,Employed,UK,0,BN3 1HB,54500,Own,0,8458,Paid
66,F,13,Unemployed,UK,1080,WV6 8SU,18000,Own,0,5561,Paid
45,M,1,Self Employed,UK,1060,OX28 1AJ,48500,Rent,3,38750,Defaulted
22,F,2,Unemployed,UK,3730,SG14 3RZ,54500,Rent,3,18408,Defaulted
19,F,1,Employed,UK,6830,OX29 8NP,18500,Mortgage,3,8565,Defaulted
37,M,6,Unemployed,UK,3770,BT71 7NJ,44000,Own,0,16946,Paid
35,F,15,Unemployed,UK,810,NR25 7BE,49500,Own,0,32457,Paid
72,F,29,Employed,UK,6430,PR26 9HW,54000,Mortgage,3,39161,Defaulted
35,M,10,Unemployed,UK,4140,CT14 7LX,40000,Rent,1,25144,Paid
25,F,1,Employed,UK,450,HD8 0TG,21500,Own,3,16330,Defaulted
70,F,52,Employed,UK,9800,KT21 2LR,44500,Rent,3,9306,Defaulted
68,F,35,Self Employed,UK,1110,SW7 5LY,32000,Own,0,22353,Paid
67,F,16,Self Employed,UK,7300,RG4 7EY,49000,Own,0,32957,Defaulted
41,M,14,Employed,UK,5060,PO9 1AR,33500,Mortgage,0,19432,Paid
88,F,38,Self Employed,UK,80,RG19 4RR,16500,Own,0,9770,Paid
63,M,42,Unemployed,UK,2700,PO35 5NB,42500,Mortgage,3,18470,Defaulted
37,F,18,Self Employed,UK,2030,G78 1HB,53000,Own,0,45449,Paid
83,F,38,Unemployed,UK,1030,TW1 2EA,40500,Mortgage,2,18515,Defaulted
82,F,57,Self Employed,UK,750,SW16 3DX,27000,Mortgage,2,510,Defaulted
74,M,37,Self Employed,UK,3200,N19 3BB,51500,Own,0,21803,Defaulted
61,M,25,Self Employed,UK,7900,N5 1PP,32000,Own,0,5837,Defaulted
87,M,51,Employed,UK,30,DE22 2FP,40500,Own,2,34004,Paid
43,M,4,Self Employed,UK,5240,HA8 6LU,22500,Own,1,16352,Paid
74,F,36,Unemployed,UK,2560,SW8 1BH,48000,Own,1,29187,Paid
32,F,13,Self Employed,UK,2400,GY3 5HW,41500,Own,1,15147,Paid
65,F,9,Employed,UK,8580,GY2 4TR,47500,Own,2,20023,Paid
53,F,18,Self Employed,UK,50,IM9 6NE,32000,Own,0,17547,Paid
59,F,1,Employed,UK,960,NW6 6TD,50500,Mortgage,3,27654,Defaulted
33,F,11,Employed,UK,560,GY6 8DN,9500,Mortgage,0,5880,Paid
60,F,12,Unemployed,UK,3870,RG22 5LT,49500,Own,1,3710,Paid
35,M,1,Self Employed,UK,0,TA4 4AA,45000,Own,3,5396,Defaulted
41,F,15,Unemployed,UK,8800,GU1 3HX,54000,Own,0,37542,Defaulted
46,F,2,Employed,UK,1370,SA73 1HA,43000,Mortgage,0,7750,Defaulted
81,M,15,Self Employed,UK,1800,KT17 1NF,17500,Own,0,2129,Paid
65,M,3,Self Employed,UK,4990,ST7 2LQ,52000,Own,3,24431,Defaulted
50,M,1,Self Employed,UK,3760,L38 1QD,10000,Own,2,4063,Defaulted
40,F,5,Unemployed,UK,210,AB25 3XA,24000,Own,0,19064,Paid
30,M,5,Self Employed,UK,60,KT11 3EZ,30500,Rent,0,26124,Defaulted
34,M,2,Unemployed,UK,10,W11 2QT,43500,Mortgage,1,36778,Paid
64,F,6,Unemployed,UK,5000,SK11 8RA,45000,Own,1,5928,Paid
22,M,4,Self Employed,UK,4830,SE1 3SU,45500,Own,1,9610,Paid
18,F,1,Self Employed,UK,370,BT23 6EP,17000,Own,0,2478,Paid
22,M,2,Unemployed,UK,3620,PE9 1EY,38000,Own,1,10370,Defaulted
61,M,9,Self Employed,UK,6410,EX16 4DS,52000,Mortgage,2,37846,Defaulted
27,F,1,Self Employed,UK,6580,LN2 4BL,44000,Own,0,9681,Defaulted
86,F,53,Self Employed,UK,4540,CH3 6HJ,13500,Own,3,10735,Defaulted
86,F,50,Self Employed,UK,2710,NW6 3JJ,46000,Own,2,2729,Defaulted
45,F,2,Unemployed,UK,180,B97 5YS,54000,Rent,1,36127,Paid
76,F,46,Employed,UK,5700,BA2 7NE,40000,Own,0,15748,Paid
86,F,50,Employed,UK,820,G63 0BX,26500,Mortgage,0,4238,Paid
30,F,10,Employed,UK,3910,B92 7DX,44000,Mortgage,0,21333,Paid
31,M,6,Self Employed,UK,1040,NE71 6QS,37500,Mortgage,1,24537,Paid
76,M,24,Employed,UK,2560,BT9 6JG,28000,Own,1,1568,Paid
85,F,2,Unemployed,UK,7340,W11 1BN,46000,Own,0,28556,Paid
62,F,33,Self Employed,UK,5480,N20 8DB,46500,Own,2,23670,Defaulted
85,M,25,Unemployed,UK,0,PO4 0QZ,34000,Own,2,13,Defaulted
42,M,13,Self Employed,UK,180,CT4 7ET,47500,Rent,2,24035,Defaulted
67,M,22,Unemployed,UK,3530,EH49 7EL,54500,Mortgage,0,54455,Paid
69,M,11,Self Employed,UK,0,SS9 1RS,52000,Mortgage,0,12758,Paid
86,F,24,Self Employed,UK,8050,SW2 3TT,49000,Own,1,5917,Paid
77,F,14,Self Employed,UK,2790,GU22 9BS,36500,Own,0,19481,Defaulted
72,M,30,Self Employed,UK,8680,TN16 1TH,14000,Mortgage,1,10197,Defaulted
84,F,7,Unemployed,UK,1230,B17 9JY,46000,Own,3,19059,Defaulted
49,F,14,Employed,UK,8250,SP2 7SJ,38000,Mortgage,2,32912,Defaulted
77,M,55,Self Employed,UK,9170,BN2 9YA,54500,Own,1,16560,Defaulted
43,M,4,Self Employed,UK,400,BT54 6BP,47000,Rent,1,32559,Paid
24,F,7,Unemployed,UK,450,N8 8AR,30500,Own,3,29541,Defaulted
46,M,2,Self Employed,UK,3200,SE23 3UU,49000,Rent,1,26276,Defaulted
75,F,45,Self Employed,UK,1150,SW19 8RX,11000,Own,0,4863,Paid
19,M,2,Self Employed,UK,1640,SA3 4SJ,24000,Own,2,20772,Defaulted
59,M,31,Employed,UK,4470,EH4 2DF,26500,Mortgage,1,5966,Defaulted
25,M,2,Self Employed,UK,50,N16 8DL,54000,Mortgage,0,12982,Defaulted
55,M,27,Self Employed,UK,3290,HP6 6RH,51500,Own,0,47067,Paid
61,F,35,Unemployed,UK,5110,WF2 6AG,28000,Own,2,14052,Defaulted
48,M,5,Self Employed,UK,8300,N3 1NJ,17500,Own,0,6235,Defaulted
80,F,37,Self Employed,UK,2120,GL15 6SF,41500,Mortgage,0,22657,Paid
41,F,18,Unemployed,UK,2130,W4 3EY,43500,Own,2,2429,Defaulted
43,F,21,Self Employed,UK,4160,BT9 6NG,31000,Mortgage,0,25035,Paid
32,M,14,Self Employed,UK,8500,W2 5RB,49500,Own,3,47992,Paid
53,F,3,Self Employed,UK,7810,TS14 6AL,46000,Own,1,39445,Paid
85,F,61,Unemployed,UK,3130,SE26 4NY,42500,Own,2,8176,Defaulted
56,F,36,Self Employed,UK,4040,KT13 8JY,53000,Mortgage,2,18810,Defaulted
82,M,18,Employed,UK,320,CO6 4JL,18500,Mortgage,0,3519,Paid
39,F,2,Self Employed,UK,5490,LE2 3RG,30000,Mortgage,1,13827,Defaulted
46,F,19,Unemployed,UK,8240,W5 3XH,18500,Mortgage,0,5857,Defaulted
71,F,21,Employed,UK,6080,LE15 9LN,47000,Mortgage,2,2240,Defaulted
29,M,2,Self Employed,UK,160,BN3 3DB,38500,Mortgage,3,20236,Defaulted
79,M,32,Unemployed,UK,3450,GU29 0NQ,29000,Own,0,26338,Paid
88,F,60,Unemployed,UK,2530,EH14 1DY,42500,Mortgage,3,5477,Defaulted
77,M,60,Self Employed,UK,2340,CB1 3RT,44500,Rent,3,25169,Defaulted
18,M,1,Self Employed,UK,5530,G42 8XR,21000,Own,1,18929,Paid
50,M,21,Self Employed,UK,240,IP22 1BE,42000,Own,0,2960,Defaulted
70,M,52,Self Employed,UK,420,AB10 6HT,32500,Rent,1,18067,Paid
75,M,57,Unemployed,UK,3370,PH6 2EG,42500,Own,0,28604,Paid
75,M,25,Unemployed,UK,7740,IM9 6LR,32000,Own,0,9551,Defaulted
77,F,16,Unemployed,UK,3760,PE8 5LE,25000,Own,0,16441,Paid
32,F,2,Self Employed,UK,4030,DT7 3BY,52000,Mortgage,3,626,Defaulted
30,M,10,Self Employed,UK,0,SW4 6SS,51000,Own,2,13248,Defaulted
28,F,2,Retired,UK,9840,RG42 5QD,32500,Own,0,6485,Defaulted
59,M,14,Self Employed,UK,1370,PE14 8QN,35000,Own,0,9079,Paid
53,F,9,Employed,UK,6650,SL5 7QR,43000,Mortgage,1,23271,Paid
57,M,1,Self Employed,UK,990,BN6 8UR,46500,Rent,0,693,Paid
76,F,11,Self Employed,UK,260,SP8 5HS,54000,Own,0,11380,Paid
30,M,11,Self Employed,UK,5900,BT9 5PY,38500,Own,0,17567,Paid
57,M,10,Unemployed,UK,2890,EX34 9SU,34500,Mortgage,0,28122,Paid
33,F,13,Unemployed,UK,800,PA1 2JB,44500,Own,0,14848,Defaulted
45,F,9,Unemployed,UK,8830,SO43 7DA,42000,Mortgage,2,11881,Defaulted
48,M,7,Unemployed,UK,690,SW12 8JL,23500,Own,2,8184,Defaulted
60,F,29,Unemployed,UK,1520,LS2 9AH,25500,Mortgage,1,7099,Defaulted
26,M,1,Unemployed,UK,190,SY23 4LL,21500,Rent,0,11165,Paid
84,M,45,Self Employed,UK,530,BT38 9ER,33000,Mortgage,0,17146,Paid
39,F,6,Self Employed,UK,1980,HP5 3NE,41000,Mortgage,3,38652,Paid
83,M,60,Employed,UK,110,M1 6LG,54500,Own,1,24589,Paid
21,F,3,Self Employed,UK,5270,NG14 7DX,37000,Mortgage,1,32165,Paid
58,M,33,Employed,UK,6660,NE30 4HA,53500,Own,3,5759,Paid
45,F,17,Unemployed,UK,710,S10 4GP,20000,Own,0,10162,Paid
29,M,3,Employed,UK,100,SK7 2AS,45000,Rent,3,37642,Defaulted
88,M,32,Self Employed,UK,9190,BH2 6JS,54500,Rent,2,15536,Defaulted
37,M,5,Employed,UK,6650,GU28 0LA,46500,Own,3,33842,Paid
59,F,38,Unemployed,UK,0,IM8 1LX,16500,Own,2,3293,Paid
48,F,11,Self Employed,UK,9240,W11 2DE,50000,Mortgage,0,55,Paid
34,F,13,Self Employed,UK,8190,SK12 1BJ,19000,Mortgage,3,7031,Defaulted
28,M,8,Self Employed,UK,0,N16 8QT,42000,Mortgage,2,20240,Defaulted
41,M,16,Unemployed,UK,6570,IM7 2AG,22000,Own,0,12609,Defaulted
24,M,3,Unemployed,UK,8990,GY5 7YF,24000,Rent,0,481,Defaulted
39,M,11,Unemployed,UK,7970,WN1 2SD,44500,Mortgage,0,4361,Paid
63,F,13,Employed,UK,7920,SW4 9NX,28500,Rent,0,13714,Defaulted
23,F,3,Self Employed,UK,2340,BT43 5NG,38000,Own,3,16354,Defaulted
72,F,20,Employed,UK,1420,BT28 2AX,38500,Mortgage,0,1078,Paid
34,M,2,Self Employed,UK,8450,BR7 6QL,45500,Own,1,40907,Defaulted
39,F,12,Self Employed,UK,60,BT56 8HN,19000,Own,1,2177,Paid
70,M,32,Self Employed,UK,130,W4 5BW,29000,Rent,1,23182,Defaulted
70,M,52,Unemployed,UK,3850,IP1 4NR,15000,Mortgage,0,6423,Paid
75,M,46,Unemployed,UK,4970,IP11 7JH,23500,Mortgage,0,10320,Paid
21,F,2,Unemployed,UK,4040,PL16 0LB,50000,Rent,1,49997,Defaulted
61,F,31,Self Employed,UK,2000,BN21 2AH,47500,Own,1,923,Paid
64,F,40,Self Employed,UK,5680,FK10 4QF,26500,Own,2,6566,Defaulted
62,F,13,Self Employed,UK,450,CR3 0HD,45000,Mortgage,0,10983,Paid
45,F,20,Unemployed,UK,2620,BS6 7NY,49500,Mortgage,2,13360,Paid
65,F,11,Unemployed,UK,1780,BT32 3RL,32000,Mortgage,0,31235,Defaulted
26,F,5,Unemployed,UK,7170,GU9 7QN,52500,Mortgage,0,27826,Paid
26,F,7,Self Employed,UK,2140,NW6 4LU,51000,Mortgage,0,48920,Defaulted
84,F,58,Self Employed,UK,850,CT2 8LS,31000,Own,1,2218,Paid
50,M,9,Self Employed,UK,3070,CF5 2YF,33500,Own,1,1902,Paid
17,M,1,Employed,UK,8430,N1 9BL,220000,Own,1,18005,Defaulted
82,M,9,Self Employed,UK,7170,LS29 9JE,31000,Rent,1,9170,Defaulted
22,M,5,Unemployed,UK,2200,GU1 2QH,52500,Own,3,47835,Paid
88,F,34,Self Employed,UK,10,GL53 0BB,54500,Own,0,42197,Paid
38,M,11,Self Employed,UK,1600,RG29 1AX,30500,Own,0,27399,Paid
82,M,40,Self Employed,UK,450,PE37 7RB,30500,Rent,1,261,Paid
20,F,3,Self Employed,UK,60,YO24 1QB,48500,Own,3,22536,Defaulted
20,M,1,Employed,UK,30,LL57 4TQ,10500,Mortgage,1,4132,Paid
67,M,8,Self Employed,UK,9960,CM2 7EW,50500,Rent,2,3187,Defaulted
77,M,34,Self Employed,UK,330,SL9 8LX,32500,Mortgage,0,23443,Defaulted
40,M,19,Self Employed,UK,1860,HP4 1JP,38000,Own,0,37832,Paid
58,M,17,Employed,UK,60,IM3 2AZ,45000,Rent,1,37036,Defaulted
46,M,23,Self Employed,UK,0,GU15 1RJ,43500,Own,0,23021,Paid
85,M,62,Unemployed,UK,290,KT12 5HZ,47500,Mortgage,0,10257,Paid
30,M,3,Unemployed,UK,7380,E1 3JH,31500,Own,0,13840,Defaulted
40,F,20,Unemployed,UK,2830,SW17 0DY,48000,Own,3,15269,Defaulted
34,F,5,Self Employed,UK,180,UB9 6HP,35500,Mortgage,0,30484,Paid
85,M,4,Employed,UK,4340,CR2 8RE,38000,Own,0,1613,Paid
43,F,12,Employed,UK,4410,EN2 7LH,23500,Own,2,14934,Defaulted
51,F,12,Unemployed,UK,6690,WR14 3JX,53000,Own,3,24718,Defaulted
50,F,11,Self Employed,UK,3950,EC1V 7JW,27500,Own,1,21509,Paid
89,M,59,Unemployed,UK,1680,PE37 8EN,36500,Own,3,32371,Paid
23,M,1,Self Employed,UK,6030,SE22 8EA,34000,Rent,2,30656,Defaulted
28,F,10,Unemployed,UK,7330,BS10 7PT,51500,Rent,1,14633,Paid
62,M,1,Employed,UK,920,IP28 6JA,21500,Mortgage,0,18444,Defaulted
42,M,1,Self Employed,UK,0,CV36 5HS,26000,Rent,1,5503,Paid
79,F,2,Unemployed,UK,710,BA5 2LB,36500,Rent,0,14830,Paid
27,M,10,Unemployed,UK,7230,BN6 8LT,50000,Own,1,33061,Paid
20,M,1,Self Employed,UK,1490,RG27 8PH,38500,Own,0,37668,Paid
25,M,8,Self Employed,UK,290,IM1 5BY,44000,Own,1,15679,Paid
53,F,4,Self Employed,UK,6290,M16 8ET,38500,Rent,3,11454,Defaulted
20,F,2,Unemployed,UK,9270,W13 8JT,34000,Mortgage,3,6876,Paid
32,F,14,Self Employed,UK,4800,EH14 1AT,25000,Rent,0,24952,Defaulted
72,M,53,Unemployed,UK,2590,HG2 8HZ,23000,Own,2,12712,Defaulted
83,M,60,Self Employed,UK,6350,NR19 2DT,54000,Own,1,38267,Paid
86,F,11,Unemployed,UK,1990,YO23 7EH,24000,Mortgage,2,305,Paid
60,M,35,Unemployed,UK,8240,LS29 9PE,19500,Own,0,9654,Defaulted
